st,type 
Ok 11-06-adultsUser64 lol,Statement
you ring 11-08-40sUser52,Statement
hello all,Other
to talk,Other
good policy,Statement
not a loaded quistion,Statement
nite 10-19-30sUser7,Other
cancer,Statement
"was a mistake, that's all",Statement
JOIN,Other
i just got here too and i showered so ya can't leave yet...lol,Statement
my comp is having issues,Statement
ty 10-19-30sUser25 hun,Statement
:),Other
hi 10-19-40sUser34,Other
hey im me,Other
what,whQuestion
thanks 10-19-40sUser16,Statement
i agree,Other
sexy love,Other
11-09-adultsUser101..,Statement
works for me ,Statement
he drew a girl with legs spread,Statement
newp i hate whispers,Other
you happen alot 10-26-teensUser66,Other
JOIN,Other
lol,Other
mmmm,Statement
elbows??,ynQuestion
aw,Other
11-09-teensUser57.,Statement
JOIN,Other
PART,Other
i need to dl some songs for my phone,Statement
 (((((((((((((((11-08-40sUser73)))))))))))))),Other
15 min to go,Statement
JOIN,Other
 ;-) ,Other
"so, what have we disocvered my children?",whQuestion
hey 11-08-20sUser50 you whore whats up?,Other
hiya,Other
does anyone want to talk to me on the phone?  I don't charge,ynQuestion
woooohoooo,Other
<tries to watch his manners,Statement
.ACTION goes boom.,Other
hehehehe 10-24-40sUser21,Other
JOIN,Other
11-09-40sUser0,Statement
any one here from pine city,ynQuestion
11-09-40sUser18 hiya,Other
Hello 11-09-40sUser30,Other
my bad\,Statement
".ACTION is out like a republican congressman, see ya later.",Other
18/m pm me if u tryin to chat,Statement
"ok lovers, I'm out",Other
pointer sisters,ynQuestion
in this thing,Other
"I don""t even know what that means 10-19-30sUser9....",Statement
lol 11-09-adultsUser0,Other
burp?,ynQuestion
looks like we got the bases covered 10-24-40sUser12 lol,Statement
is 10-19-adultsUser30 any good?????,ynQuestion
JOIN,Other
 :-o  <-- the ready face,Statement
hi there everyone,Other
PART,Other
Whose idea was that?,whQuestion
 11-08-20sUser65 is my wife,Statement
JOIN,Other
hey 10-19-20sUser6,Other
10-19-30sUser42,Other
blech 11-09-40sUser39,Other
hi 11-08-40sUser25,Other
i need coffee bbl,Statement
PART,Other
lol 11-08-40sUser48,Other
:|,Other
Hey room,Other
nj here 11-06-adultsUser35,Other
"omg,omg,omg Its!Its 11-09-teensUser197!",Other
owww splinter,Statement
what is a fly?,whQuestion
heeheeheeheeheehee,Other
hey 11-08-adultsUser116!,Other
you know when you do you own laundry when you go out and your back itches and you pull out a fabric sheet,Statement
[[[[[[[[[[[[[[[[[[ 11-06-adultsUser37 ]]]]]]]]]]]]]]]]]]]]],Other
"I know, but it threw me",Statement
youasshole!,Other
i probably sucks in summer too hot,Statement
i just got here,Statement
oh,Statement
hi 11-09-40sUser33,Other
.ACTION is hungry.,Other
what about me 10-19-30sUser31,whQuestion
hi everyone,Other
JOIN,Other
Describe your normal methods of assigning work to subordinates,whQuestion
they seem so long LOL,Statement
JOIN,Other
JOIN,Other
PART,Other
i dont pm,Statement
hi 10-24-40sUser37,Other
JOIN,Other
ty 10-19-40sUser11,Statement
yup,Other
i just saw shaun of the dead.. so = gaaaaaaay = quite funny,Statement
lol,Other
rock mostly but i'll listen to anything if its good,Statement
minus a lot here ... and snowy,Statement
.ACTION sets up his altar to summon lucifuge.,Other
hi 10-24-40sUser51,Other
wanna fuck 11-08-20sUser104,ynQuestion
whats the time there?,whQuestion
Heyyy. :) <33.,Other
<---not japanese or turkish,Statement
long time 10-19-40sUser53...if ya don't do it regularly,Statement
!smooch room damn it,Other
courtney love,Statement
JOIN,Other
What have they done?,whQuestion
actually i do....never liked soft women....,Other
"that's such a soothing thought, 11-09-40sUser52",Statement
any guys wanna chat,ynQuestion
you're talking to the right guy about sluggish 10-19-40sUser53,Statement
((((((((((10-19-40sUser42)))))))))),Other
"Wtf, man",whQuestion
LOL,Other
can i talk to him!!,ynQuestion
lmao ,Other
PART,Other
close,Other
JOIN,Other
hey 10-19-30sUser28,Other
11-09-teensUser104 <3,Other
PART,Other
JOIN,Other
dont know how it works..but it does,Statement
PART,Other
noooooooooooooo,Other
ha just kidding,Other
we are the same age until muh birfday then =),Statement
*fuck the system hel over the comon man just to dis em believe int he power of the single man to take the power trippin world in his hand*,Statement
PART,Other
i mean the pepper steak lol,Other
hi 10-24-40sUser50 one,Other
lol,Other
JOIN,Other
bye 10-19-30sUser15,Other
winks 11-09-40sUser8,Statement
whats up every1,whQuestion
JOIN,Other
you're welcome,Statement
PART,Other
JOIN,Other
JOIN,Other
How about the hardest decision you ever made?,whQuestion
ah good night to have the top down,Statement
wb 10-24-40sUser53,Other
ever,Other
lmao um i dotn thinkso,Other
there are clubs for that 10-26-teensUser66.,Statement
Hi all ,Other
who sing the song  purple haze,whQuestion
.ACTION .Liam's .13cute.-ass MP3 player. This is what I'm listening to; ..Trivium - Washing Away In The Tide...,Other
JOIN,Other
"I am hanging on to your words, your love ,,,so cmon ,make me like water to your tongue ,,,",Statement
PART,Other
your HOT?,ynQuestion
I'm ok .... been busy,Statement
he might not neither 10-24-40sUser35 lol,Statement
PART,Other
JOIN,Other
tc 11-06-adultsUser1,Other
always gets them worked up.,Statement
Nope.,Other
"10-26-teensUser122, is back so ppl can ban.",Statement
uh huh ,Other
"11-09-teensUser820 (11-09-teensUser820@11-09-teensUser820) Last seen: 1 day, 3 hours, 8 minutes ago.",Other
.Question:. Hug or a kiss?,Other
hi 10-24-40sUser46,Other
ty ty,Statement
aloha 11-09-20sUser156,Other
Hi 11-09-40sUser50,Other
JOIN,Other
PART,Other
JOIN,Other
JOIN,Other
am i?,ynQuestion
between the snow plows and the rock salt the roads get trashed in the winter,Statement
PART,Other
hmmm,Statement
"gotta go pick up hubby, bbs ",Other
mmm,Statement
hi 10-19-40sUser44,Other
PART,Other
Why did you leave so early?,whQuestion
it's a movie ,Statement
any hot guys frm 14-16 wana chat,ynQuestion
PART,Other
18/m pm me if u tryin to chat,Statement
hiya 10-19-40sUser20,Other
any girls wanna chat? pm me,ynQuestion
hi 11-09-40sUser19,Other
lose the fantasy 10-19-30sUser17... lol,Statement
 not going... hehe,Other
JOIN,Other
PART,Other
JOIN,Other
hello is there anyone in the maryland area,ynQuestion
heyyyyyyyy 11-08-40sUser70 ,Other
JOIN,Other
JOIN,Other
cya all....,Other
lol,Other
lol 10-19-40sUser9,Other
PART,Other
Laters all,Other
JOIN,Other
hello,Other
hi 10-19-40sUser30!!!!!,Other
hi 10-19-40sUser52,Other
JOIN,Other
thanks anyways,Statement
and ill bring da weeeeeeeeeeeeeeeeeeeeeeeeed,Other
lol,Other
JOIN,Other
lol,Other
JOIN,Other
JOIN,Other
JOIN,Other
"when i find an ""estra"" sock.. the cat or dog gets it as a toy",Statement
any austin texas area ladies in here,ynQuestion
like 10-26-teensUser58 lol,Statement
"ok, didnt know you were pervin, will pay attention 10-24-40sUser16",Statement
JOIN,Other
.ACTION moanz LOUD.,Other
JOIN,Other
lol ,Other
hi 11-08-40sUser32,Other
you are a total fuddahnut 10-19-adultsUser28,Statement
omg,Other
I am 29 From tonawanda ny ,Statement
What was your role?,whQuestion
HAHAHA,Other
wut up everyone,Other
PART,Other
i already wrote what i wanted you to read.,Statement
adults are cooler.....lol,Statement
...,Other
"I'm gonna go fix food, I'll be back later.",Other
Hiya 10-19-40sUser16,Other
hiya 11-08-40sUser22,Other
aloha 11-09-20sUser12,Other
How come he stayed?,whQuestion
yup.  I got a 4 1/2 year old daughter.  she's my world .. ,Statement
we're not as stupid as we appear... lol,Statement
lol 11-08-20sUser91!!!,Other
the name on my phone has changed,Statement
"10-19-adultsUser16.. I'm ok, how are you babe?",whQuestion
You make a good mother ^_^,Statement
thats true ,Other
hey 11-06-adultsUser107,Other
lol,Other
where you at,whQuestion
i might  have yours 11-09-40sUser7..i always have extras,Other
ya 11-08-40sUser33 a little frustrating eh?,ynQuestion
10-19-adultsUser37 - umm prolly,Statement
hi 11-06-adultsUser112,Other
lol 11-09-adultsUser24 there's always yucky construction around here,Other
<empty>,Other
JOIN,Other
awwww 10-19-adultsUser16  i like pseudo concernin  ~smirkZ~,Statement
did he get booted or did he leave...,ynQuestion
howdy 10-24-40sUser48,Other
   ;-) ,Other
".ACTION applaudes whilst shouting ''encore, encore''.",Other
"your cat walks in a perfect line, im impressed!",Other
nothing much in particular,Statement
bi or lez gurls pm me,Statement
PART,Other
Could this be true?,ynQuestion
.ACTION <3's all over 11-09-teensUser197..,Other
PART,Other
PART,Other
PART,Other
10-19-adultsUser520,Statement
PART,Other
.ACTION settles in next to 10-19-30sUser11...not leaving ;).,Other
i was only kidding.,Statement
i dont wanna be at work,Statement
in ny,Statement
JOIN,Other
hiYas 10-19-adultsUser62,Other
freak....,Statement
it was nice talking to all of you,Statement
you can knock me up next time k?,Statement
bbbbbyyyyyyyeeeeeeeee...........,Other
what the hell,Statement
JOIN,Other
lol,Other
lol *sniffs*,Other
PART,Other
thats not nice,Other
i see her everyday@shopgirl,Statement
yep I can see that 10-19-40sUser9 :-) ,Other
JOIN,Other
ohwa. lol,Other
"not quite, wanna call me a few more names?",ynQuestion
lookin good fella?,ynQuestion
JOIN,Other
hey everybody,Other
i'm having a cupper of coffee right now lol,Statement
lol 10-19-30sUser18,Other
11-09-teensUser122!!!!!!!!,Other
yikesssss,Other
mature love making is sweet ,Statement
Yes in Holland,Other
hello,Other
lmao 11-09-40sUser18,Other
Are you coming with us?,ynQuestion
hi 10-19-40sUser37,Statement
so how do you unwind 10-19-30sUser9?,whQuestion
no no no 10-19-adultsUser35  you were tha fillin,Other
How well did the schedule work?,whQuestion
HI 11-09-40sUser19 and 11-09-40sUser34,Other
jk,Statement
hello,Other
JOIN,Other
that hall oates guy?,Statement
JOIN,Other
she is good on her elbows i miss her,Statement
hi 10-24-40sUser19,Other
awww 11-08-adultsUser92 *blush*,Other
mm buffalo wings,Statement
PART,Other
PART,Other
11-09-40sUser30  and ... Dr. Ruth ,Statement
.ACTION sighs.,Other
i live in the attic,Statement
anyone want to pm me tonight ,ynQuestion
PART,Other
Describe an important goal that you achieved in the past.,whQuestion
mango is my fav,Statement
PART,Other
.ACTION falls.,Other
hi 10-19-40sUser23,Other
18/m pm if u try to chat,Statement
wb 10-19-adultsUser36,Other
JOIN,Other
Hi 11-09-40sUser51,Other
(((((((((( 10-19-adultsUser35 ))))))))))))),Other
Hi 10-24-40sUser35,Other
smart gal 10-19-40sUser27..backup,Statement
JOIN,Other
PART,Other
PART,Other
PART,Other
hiYas 10-19-adultsUser57,Other
hi all ,Other
"wonders if 10-24-40sUser16 is full of hot air, perv, huh",Statement
PART,Other
I used to make pumpkin bagels,Statement
fine here ty,Statement
Hi  10-19-40sUser27   who is  here n there,Other
"Not to worry ladies, I have arrived.",Statement
well n othing,Other
(that was my meredith impression),Statement
Are flowers grown here?,ynQuestion
Hi 11-06-adultsUser19 ,Other
takes a long time 10-19-40sUser53,Statement
lol,Other
.ACTION sits with 10-19-20sUser92.,Other
I have to leave?,ynQuestion
JOIN,Other
11-08-20sUser20 ill call yoooou...........,Statement
pm,Other
awww 11-08-adultsUser70 i am so sorry honey :(,Statement
i kicked his ass last night 10-19-adultsUser32...  we had a spat now he love4s me.>LOL,Statement
any fine gurls in hurr pm me to find me out,ynQuestion
the classic vomiting...,Statement
i liked it..soo funny,Statement
goody,Statement
lol,Other
i am a hot girl ,Statement
PART,Other
hi 10-19-40sUser28,Other
what is that saying abou tthe rest of us?,whQuestion
any hot sexy guys wanna chat pm me,Statement
ldskdlsf,Other
omg 11-09-40sUser31.......you have a list of mothas,Statement
just kidding,Statement
hey 11-08-adultsUser95,Other
hey 10-19-40sUser53,Other
"11-06-adultsUser69, marry me?",ynQuestion
11-09-40sUser49.. it was more the traffic,Statement
:),Other
hey 11-09-40sUser11,Other
I'd like to chat cutie,Statement
LOL I know 11-09-adultsUser27,Statement
:11-06-adultsUser99!hbtHeather@hbtHeather MODE #talkcity_adults +o 11-06-adultsUser99,Other
lol,Other
wb 11-08-40sUser23,Other
" .San Diego, California. -- 4.  4:03 PM PST",Other
PART,Other
11-08-20sUser104,Statement
Have you ever visited Argentina?,ynQuestion
i never lie 11-08-40sUser7,Statement
11-06-adultsUser5?,whQuestion
PART,Other
Should we email her?,ynQuestion
Hi 11-09-20sUser163!!,Other
.ACTION is never wrong.,Other
whats up ,whQuestion
be .. dunno.. nicer,Other
JOIN,Other
hi 10-19-40sUser43,Other
H0rny les with pics. any girls want to pm me,ynQuestion
What kind of problems have people recently called on you to solve?,whQuestion
PART,Other
metallica?,ynQuestion
11-08-adultsUser3 did you physically meet neysa?,ynQuestion
Booyah.,Other
!problem,Other
hi 10-24-40sUser41,Other
"yeah, so did 10-19-20sUser155",Other
any guys wanna talk with f 19 tx ,ynQuestion
11-08-adultsUser92,Other
i think he bounced,Statement
PART,Other
anyone see Borat,ynQuestion
bitch*,Other
wisconsin?,ynQuestion
haha,Other
hello,Other
JOIN,Other
clearly we all cannot get along...,Other
lol back,Other
JOIN,Other
lol 11-08-20sUser110 youre crazy,Other
hi 10-24-40sUser46,Other
JOIN,Other
I'm good like that  ;-) ,Statement
argh,Other
Now 11-08-20sUser121 you must get on webcam for --> 11-08-20sUser106!!,Other
I an fantastical,Statement
you fat mother ####!!!!!!!!!!!!!,Other
I'm saving myself for marriage as well.,Statement
.ACTION is listening to .Fergie - Fergalicious. ...,Other
hiya 11-08-adultsUser132,Other
11-09-20sUser34 long time no see lover,Statement
hey where in md?,whQuestion
of course gomer,Statement
PART,Other
hi 11-08-40sUser24,Other
ok,Other
LOL you don't know me do you?,ynQuestion
What did you do in your last job to contribute toward a teamwork environment?,whQuestion
its now S & S Swackhammer,Statement
everything?,ynQuestion
lol quiet for all the people that are in here,Statement
With whom do you agree?,whQuestion
lol,Other
hey u550436035,Other
JOIN,Other
"gotta stand up with the apron on, 10-24-40sUser13",Statement
come on barbie lets go party,Statement
11-06-adultsUser58!,Statement
Hi 10-19-30sUser4,Other
woof,Other
messed up bad,Statement
hiya 10-24-40sUser37,Other
hi 11-06-adultsUser105,Other
JOIN,Other
But expensive.,Other
Has he returned the car?,ynQuestion
JOIN,Other
thanks 10-24-40sUser3!,Statement
hi there,Other
yes you,Other
trippy song when ya blazed,Statement
looks down...,Statement
lol its ok,Statement
what r u searching for?,whQuestion
:),Other
any girls wana chat with 27-m-canada pm me,Statement
im standin where?,whQuestion
i hate being honest,Statement
hello 10-19-30sUser17,Other
"i'm on lunch, whats on the menu today?",whQuestion
LOL,Other
just because I boinked someone doesn't mean I can't have my innocense.,Statement
hi 11-09-40sUser34,Other
hi 10-24-40sUser27,Other
18/m pm if u try to chat,Statement
.ACTION sits on the hammock and rubs her temples.,Other
good,Other
11-09-20sUser156 . . . how are you hon,whQuestion
heyyy 11-09-20sUser168,Other
CO?,ynQuestion
"Jonesboro, 11-09-20sUser103",Statement
hahaha,Other
LMAO,Other
a,Other
hi 11-09-40sUser45,Other
10-19-20sUser6,Statement
i fourth even though i don't know what your talking about,Statement
"thows eyes back,, i have two",Statement
do it,Statement
JOIN,Other
sowwy ppl!,Other
nah,Other
PART,Other
well i am a  hickory  nut,Statement
Elle went out with her fruity friend to a bar,Statement
PART,Other
jk,Statement
am gonna shootthis pos thing,Statement
:o *,Other
"doin good, 11-09-40sUser47 ... how are you dear?",whQuestion
Hello 11-08-40sUser7,Other
<anti-sexy,Statement
he came back..lol,Statement
lmao,Other
PART,Other
d=,Other
<perk> sleepover lol?,Statement
with an answer like that...nope....lol,Statement
i have my hand to satisfie me ok,Statement
On what occasions did you feel you had to consult with your boss before proceeding with some action?,whQuestion
JOIN,Other
PART,Other
;],Other
JOIN,Other
hi 11-09-40sUser33,Other
PART,Other
PART,Other
lil ####,Statement
like so...,Statement
well.. you've gotta deal with the issues that caused your depression in the first place.. antidepressants aren't a cure.. they're just meant to help you while you deal with the real problem,Statement
.ACTION looks for his feet in the shower.,Other
hi 10-24-40sUser41,Other
lol,Other
brb,Other
.ACTION brings 11-08-20sUser21 a beer.,Other
lol,Other
PART,Other
PART,Other
I am laughing so hard,Other
lol hi everyone,Other
hi,Other
I love this song.,Statement
like always 10-19-30sUser7 and yours,whQuestion
yeah i lost connection,Statement
PART,Other
Did the key work?,ynQuestion
PART,Other
right,Other
nice 10-26-teensUser66 ,Statement
seee you 11-08-40sUser52,Other
"who ate all the pies, who ate all the pies",whQuestion
no,Other
".ACTION whispers: you eat dog shit, and howl at the moon..",Other
pa here 11-06-adultsUser103,Other
not me i put them in the jail lol ,Other
11-06-adultsUser58,Statement
:) hi 10-24-40sUser50,Other
Give an example of a time when you had to be relatively quick in coming to a decision.,whQuestion
JOIN,Other
just bend over 10-19-adultsUser35 i will,Statement
ok seriously who was the dumbass that signed kev fetterline a rap deal????,whQuestion
gotta watch my manners or she won't psh anymore buttons....lol,Statement
I'm from home,Statement
PART,Other
hiya 11-08-40sUser75,Other
r u a teacher 2?,ynQuestion
girls guys pm me,Statement
lol 11-09-40sUser18,Other
"pleased to meet you, hope you guess my name",Statement
"..i know, lawl",Statement
that's when i get off work,Statement
lol,Other
soory,Statement
hey 11-08-40sUser71,Other
Who told you that secret?,whQuestion
yessum,Other
"Tell me why after all this time ,do you hide ,,do I see you as a sweet surprise ,,,",Statement
hi 18 f co here all males wanna chat with me pm me,Statement
no but I lived in the foothills of NC where there are a lot of chicken farms.. interesting smell,Statement
shane ate one too many cakes today i think,Statement
who is the bigest turkey in here lol,whQuestion
having my first cupo the dya,Statement
MODE #40sPlus +o 10-19-40sUser16,Other
PART,Other
mmmmk,Other
JOIN,Other
lmao 10-19-30sUser17,Other
JOIN,Other
PART,Other
JOIN,Other
i love american hx,Statement
i am the walrus,Statement
JOIN,Other
JOIN,Other
i dont have to know how to read to drive a nice car..,Statement
Whats going on in this room?,whQuestion
:10-26-teensUser54!10-26-teensUser54@10-26-teensUser54 MODE #14-19teens +o 10-26-teensUser54,Other
PART,Other
Were the demonstrations in the center of town?,ynQuestion
PART,Other
:),Other
whats up with the holocaust names?  ,whQuestion
:11-09-40sUser52!11-09-40sUser52@11-09-40sUser52 MODE #40sPlus -o 11-09-40sUser52,Other
11-08-adultsUser59 ,Statement
Tell me about an idea you generated.,whQuestion
PART,Other
PART,Other
JOIN,Other
JOIN,Other
Hi 10-19-20sUser139,Other
PART,Other
No,Other
.no idea.,Statement
I missed you yesterday,Statement
hi 11-08-40sUser40,Other
that is good 10-24-40sUser24,Other
O,Statement
Hi 11-09-40sUser44,Other
I'd even,Statement
LoL yep!,Other
PART,Other
PART,Other
my sis lives in maidstone,Statement
JOIN,Other
JOIN,Other
wouldnt suprise me,Statement
JOIN,Other
"No, you can't.",Other
hello darlings,Other
JOIN,Other
welcome 10-19-30sUser17,Other
Ug .. no shit?,ynQuestion
Stop confusting the sick girl,Statement
PART,Other
PART,Other
lmao,Other
lol,Other
<grins,Statement
hi 10-19-40sUser16,Other
.ACTION watches 11-08-20sUser110 tell everyone in #talkcity-20s that they had a dream hugging 11-08-20sUser21 all night long...,Other
<makes note ... 11-09-40sUser18 has all her claws>,Statement
nope nope nope,Other
im well and yourself,whQuestion
no wine 11-08-40sUser7 lol,Other
11-09-20sUser114 you work in the bear place in maidstone opposite the coffe placce?,ynQuestion
got da pics 10-24-40sUser12 ..awesome,Statement
JOIN,Other
:11-06-adultsUser25!Sissy_76@Sissy_76 MODE #talkcity_adults -o 11-06-adultsUser25,Other
;),Other
hi 11-09-40sUser35,Other
How did things work out?,whQuestion
ty 11-06-adultsUser82,Statement
JOIN,Other
PART,Other
Describe a project that required a major effort by many members of your staff.,whQuestion
hi 10-24-40sUser16,Other
well i work with a bunch of f*cktards ,Statement
hi 11-08-40sUser46.. 11-08-40sUser46,Other
.ACTION hangs head.,Other
Cards gonna win....,Statement
PART,Other
wow 10-24-40sUser3,Other
well if we have girls,Statement
i hate you.,Other
hi 11-09-40sUser33,Other
JOIN,Other
thats nice to know ...,Statement
11-08-teensUser56..,Statement
o_0,Other
hmmmmmmm\,Statement
"tried 10-24-40sUser41, no one will buy it",Statement
11-09-20sUser168 get of he's mine,Statement
What was most challenging about the experience?,whQuestion
a streetcar named denial...,Statement
wb 10-19-adultsUser30 muahhh,Other
you don't like him 11-08-40sUser28 lol,Statement
right,Other
don't take your own advice? lol,ynQuestion
wouldnt let her date,Other
JOIN,Other
How come you lost the game?,whQuestion
can you say anything else 11-09-teensUser121?,ynQuestion
.ACTION huh?....someone dissing my Ben agaibn....haters!!!.,Other
sure did ,Other
JOIN,Other
JOIN,Other
me and my widow ready to hit the town,Statement
ok,Other
how you been 11-08-20sUser50,whQuestion
hiya 11-09-40sUser45,Other
bout once a day someone thinks im female by name,Statement
PART,Other
10-24-40sUser24,Statement
dont cry babe,Other
 .Temp. 65%    ,Other
aiiiiiiiiiiiiiiiiiiiiiiii,Other
Whom did you see yesterday?,whQuestion
11-08-20sUser69 I mean.. lol,Other
shrugs,Statement
no,Other
hi 11-09-40sUser40,Other
Tell me the same thing about the worst decision you made.,whQuestion
i have teenagers,Statement
hi 11-08-40sUser53,Other
PART,Other
lol 11-08-40sUser6,Other
what happened to the girl w/ the same birthday as me??????,whQuestion
hi 11-08-adultsUser120,Other
what song did hank willams sang on monday night football on tv,whQuestion
bye,Other
winks at 10-24-40sUser1,Statement
heyyyy,Other
"hi 11-09-40sUser51 ,, 11-09-40sUser52 hi",Other
Hi ((((((((11-09-40sUser18)))))))),Other
11-08-adultsUser70... i appologize,Statement
hiYas 10-19-adultsUser55,Other
PART,Other
hey that dude  i was just talking to that said that he bet i had a nice accent im me ok i got to ask you something,Statement
what'',whQuestion
lol,Other
JOIN,Other
see yah 10-24-40sUser11 ..have a good day ,Other
hi 10-24-40sUser34,Other
yo 10-19-30sUser25 ,Other
LOL 11-06-adultsUser105 you ain't heard nothing yet:p,Statement
hmm....more like moths to the flame,Statement
"u aint gonna find washboard abs and a gret smile on the internet, ladies....damn",Other
What's happening?,whQuestion
plus i wanted a unique nic....,Other
10-19-40sUser20.....speaking of those nice px,Statement
JOIN,Other
guess it affects different people very differently..,Statement
lazy ppl... dont read profiles,Statement
lol,Other
Take on me...,Statement
dr phil on meds maybe,ynQuestion
was gonna dream about 10-19-20sUser30,Statement
well enjoy then 11-08-40sUser38,Statement
m I missing something?,ynQuestion
yeah...he may have e-herpes,Other
no ads for cam,Statement
10-19-adultsUser32 u cheating on me with 10-19-adultsUser28?..like OMG,ynQuestion
ya,Other
LoL,Other
.ACTION coughs.,Other
dressed up like lapd and chp,Statement
hi 10-19-40sUser19 and ty ,Other
hmm...you like killing people?,ynQuestion
JOIN,Other
Man ! ,Other
".ACTION walks up to 10-19-20sUser30, runs their fingers thru the back of 10-19-20sUser30's hair, closes their eyes, and gently kisses 10-19-20sUser30 on the neck, Compliments of 10-19-20sUser68!.",Other
JOIN,Other
PART,Other
lol 11-09-40sUser30,Other
PART,Other
LOL 11-09-adultsUser22,Other
who cares 11-08-40sUser34?,whQuestion
fongul ,Statement
me too 11-08-40sUser65...no matter what I'm wearing,Other
Or 5 times.,Other
lolol,Other
about as cool as Pat Boone singing Metallica,Statement
QQ at 10-19-adultsUser35 hm ya cold?,ynQuestion
"The chick I caught it from made out with the football team, I didn't realise that by sharing her drink I was sharing the football team",Statement
JOIN,Other
hey 16 m ny bored,Statement
.ACTION sits on 10-19-adultsUser28. .You needed me?.,Other
Love you,Statement
hahaha 11-09-40sUser18,Other
<---idiot,Statement
hi ya,Other
JOIN,Other
hello all,Other
JOIN,Other
Maybe 11-08-20sUser31,Statement
JOIN,Other
.ACTION has left the room.,Other
grrr,Other
i think she photshopped it,Statement
hiya 10-24-40sUser41,Other
11-09-40sUser41,Statement
What did you do in your last job in order to be effective with your organization and planning?,whQuestion
hiYas 10-19-adultsUser30,Other
the hair is forgotten then!,Other
No asking for cyber.,Other
"ty 11-09-40sUser34, 11-09-40sUser48.. evening senor 11-09-40sUser52",Other
"10-24-40sUser26 10-24-40sUser26 man, where has the 10-24-40sUser26 man gone?",Statement
tatatatnanaantatat,Statement
.ACTION graciously lights 11-09-20sUser89's cigarette.,Other
"11-09-20sUser988 (11-09-20sUser988@11-09-20sUser988) Last seen: 6 hours, 32 minutes ago.",Other
ty ty,Statement
.ACTION is listening to .White Snake - Here I Go Again On My Own. ...,Other
"awww, 10-24-40sUser41 dont be mad?",Statement
 :-) ,Other
Why is she late?,whQuestion
yep.. whupped 11-09-40sUser8,Other
White and black...the friendly bears of China...White and black...they rarly reproduce....,Statement
Describe a situation in which you suffered a major disappointment.,whQuestion
JOIN,Other
PART,Other
"hi 10-19-20sUser126, its so late",Other
18/m pm me if u tryin to chat,Statement
wb 11-09-40sUser7,Other
Which street leads downtown?,whQuestion
Did you need to go home?,ynQuestion
JOIN,Other
hi 11-08-40sUser53,Other
chatting,Statement
lol 10-19-40sUser3,Other
hi 11-09-teensUser9 il chat,Other
PART,Other
hey,Other
Your phone sexs is the best,ynQuestion
but i didnt chance it,Other
JOIN,Other
JOIN,Other
yw,Statement
I have a good friend that lives there.,Statement
hi 10-19-30sUser31!,Other
yawns,Other
yep,Other
what do u do in CA,whQuestion
hi babycakeses!,Other
LOL,Other
JOIN,Other
rained here this morning,Statement
lol 11-09-adultsUser8 i wont ask,Statement
*dreaming,Statement
 better than Living.... hehe TY,ynQuestion
otay,Other
lmao,Other
none of my teachers would sleep with me,Statement
i'll dabble in a tad of politics once in awhile but nevah religion..it's too touchy a subject,Statement
hb 11-09-adultsUser29,Other
not here,Other
JOIN,Other
nite 11-09-40sUser19,Other
PART,Other
hahah,Other
10-19-adultsUser35; is freakin out,Statement
petunias and rosepedals,Statement
it got warm?,whQuestion
yepper s ,ynQuestion
yw 11-08-adultsUser3,Statement
PART,Other
nite niteeeeeeeeeeeeeeeeeee,Other
Fix it Plssss,Other
!whip 11-08-20sUser50,Statement
I think I'm sexy as hell,Statement
PART,Other
hi all,Other
22/F/818 CALI,Statement
10-24-40sUser16?,whQuestion
go,Statement
whisling dixie,Statement
hi 11-08-40sUser24,Other
hello room whats up,Other
would like to git a purple color weave,Statement
lol@sesky,Other
PART,Other
how are you feeling 11-08-20sUser69?,whQuestion
hell yeah,Other
JOIN,Other
well i didn't cut that string for ya for nothin,Statement
PART,Other
hi 11-08-40sUser58,Other
Have you ever written instructions to be followed by employees or customers?,ynQuestion
PART,Other
PART,Other
"Omg 10-19-30sUser37, stop that",Other
hi 11-06-adultsUser82,Other
.ACTION has not tried myspace for dating.,Other
care to  me 10-19-30sUser17?,ynQuestion
.ACTION whispers: ur a douche.,Other
seems like a dating service...,Statement
wb 11-09-20sUser53,Other
hiya 10-24-40sUser33,Other
How did you handle it?,whQuestion
.ACTION wishes someone would call cause I have free incoming call mins..,Other
true,Other
"like you'd have a chance 11-09-40sUser39, lol",Statement
10-19-30sUser9....you're alive!,Other
:10-26-teensUser54!10-26-teensUser54@10-26-teensUser54 MODE #14-19teens +o 10-26-teensUser54,Other
bye 11-06-adultsUser1,Other
.ACTION touches 10-19-adultsUser32s weenis.,Other
"Wow, no one talks",Statement
yes I give p I told you I suck at guessing,Other
Lmao.,Other
JOIN,Other
hi 10-24-40sUser55,Other
lol,Other
NICK :10-19-adultsUser32,Other
"sure, put your crap on my shoulders to bear...or bare as the case may be",Statement
 hey 11-08-40sUser69,Other
PART,Other
:p,Other
what was johny cashes nick name,whQuestion
lol ,Other
have to,Statement
"sounds kinky, 11-09-40sUser49",Statement
fock,Other
lol,Other
PART,Other
".hey, 11-08-teensUser115!.",Other
lol 10-19-40sUser18,Other
">>>>>>>>>>19,m,pa",Statement
good to hear  and yer welcome,Statement
newp,Other
PART,Other
JOIN,Other
Hi ho 11-09-40sUser52,Other
who u talkin to?,whQuestion
<always 4.20 at my house,Statement
whats not to like 10-19-adultsUser15?,whQuestion
i warned him,Statement
lol 10-24-40sUser41,Other
"short leash , huh?",ynQuestion
